id,prediction,probability
0,0,0.3975580978943365
1,1,0.6129445908568207
2,0,0.3607683207564748
3,1,0.5000071912242581
4,0,0.34211081607381766
5,0,0.15464209482529684
6,0,0.37262147478205093
7,0,0.4299946353737292
8,1,0.8091971149617775
9,1,0.921269610725636
10,0,0.43608985188835203
11,0,0.39077184599924003
12,0,0.09178836750764299
13,0,0.42598424916521593
14,1,0.9095957537246288
15,0,0.49562855872890954
16,0,0.39671005019669275
17,0,0.15482305067750995
18,0,0.17317539936043477
19,0,0.1508243670854699
20,0,0.4772261147456995
21,1,0.5151797459915229
22,0,0.3645861187654355
23,0,0.2002784245312777
24,0,0.22046075246395458
25,0,0.33959291463953656
26,1,0.670246714102388
27,0,0.13736664461273387
28,1,0.6638148119759362
29,1,0.5968202834183933
30,1,0.5511691895685294
31,0,0.23090545031251988
32,1,0.7983372925720653
33,1,0.6919862498123639
34,0,0.4582519129124165
35,0,0.1784778388310402
36,0,0.31458305313640894
37,0,0.49463154025531736
38,1,0.5458447292820725
39,1,0.9112514842766031
40,0,0.402878943805155
41,1,0.6807498138888832
42,0,0.425080645796304
43,1,0.7793254056593433
44,0,0.4605976135202545
45,0,0.41760375808786804
46,0,0.3180454967314352
47,0,0.11995196437776509
48,1,0.5111305957106393
49,0,0.24644224335648604
50,0,0.2648475988057607
51,0,0.3001460983983779
52,1,0.6998700516149131
53,0,0.2729952672482907
54,1,0.6526610845622411
55,0,0.4928314877209722
56,1,0.6686591204174643
57,0,0.28105939865037344
58,1,0.502773093711934
59,1,0.5731023132163464
60,0,0.1809649694970547
61,0,0.24828926583211983
62,1,0.7319717109683098
63,0,0.19584843510955177
64,1,0.641676378300299
65,0,0.19898968422916152
66,0,0.19725761298056346
67,1,0.5808386978230253
68,1,0.8246360949168065
69,0,0.3102697700861673
70,1,0.7989432081406728
71,0,0.325735297759327
72,0,0.44258771947971415
73,0,0.47344050105827573
74,0,0.45758360677965276
75,1,0.7426808739489713
76,0,0.20834435884050648
77,1,0.5213698891290812
78,0,0.28779754797311935
79,0,0.3402811157445531
80,0,0.18988451871968734
81,0,0.3666525869907232
82,0,0.4600033904165916
83,0,0.1059837958507971
84,0,0.1657931414247973
85,0,0.10133874027112774
86,1,0.5778217907708317
87,1,0.8300671321485052
88,1,0.5186347605392475
89,1,0.5068607430119423
90,0,0.32415574727880303
91,1,0.5668344479376868
92,0,0.1921149190538455
93,0,0.16889224963812483
94,0,0.38140566445118274
95,1,0.5154849302521549
96,0,0.46336126972012426
97,0,0.34712384351157827
98,1,0.8515902832934363
99,0,0.26591945112411836
100,1,0.6587385383660267
101,0,0.39932288844651787
102,1,0.8449045717206897
103,0,0.23884521355106378
104,1,0.8378082689788101
105,0,0.4776488666157416
106,0,0.47976566045994296
107,0,0.12460559092838985
108,1,0.8929499512323953
109,0,0.40265154071247716
110,1,0.8285669261785166
111,0,0.2708092690011562
112,0,0.287319807935505
113,0,0.4137433224202241
114,0,0.11915537889188564
115,0,0.435790456857181
116,0,0.30571542118469947
117,1,0.6060817189973913
118,1,0.5696876491925605
119,0,0.256488941231711
120,1,0.708089225723858
121,1,0.5898891119265954
122,0,0.4266386310501823
123,1,0.8251024681120052
124,0,0.4526162381019704
125,0,0.2540128697203403
126,1,0.8247210974869735
127,0,0.4838038580115606
128,1,0.6543012376578209
129,1,0.908804828563903
130,1,0.5205071740746808
131,0,0.43110317342847526
132,1,0.8986720719398348
133,1,0.5950486014471298
134,0,0.18507431648065983
135,0,0.438444838841638
136,1,0.6869081561432466
137,0,0.4759706233273195
138,0,0.11114340503238479
139,1,0.76579479585783
140,0,0.41469862344866115
141,1,0.6887875274935508
142,0,0.3253285035826774
143,1,0.7152960519146057
144,0,0.32472169861544214
145,0,0.14027901804384166
146,0,0.427080839031103
147,1,0.5727843638417133
148,0,0.3838109238347279
149,1,0.6843867319246696
150,0,0.4224252152812795
151,0,0.29637039308569424
152,1,0.5594154577357178
153,1,0.6369353941003555
154,0,0.23935212132209582
155,0,0.11157381785283672
156,0,0.22787472241510612
157,1,0.6492695057012468
158,1,0.621954591058745
159,0,0.09093592365319057
160,0,0.28343091782555463
161,1,0.6172885441331151
162,0,0.32966045749738854
163,0,0.35960125646736685
164,1,0.7969537888814217
165,0,0.21355422692198356
166,1,0.5900533026942798
167,0,0.07096963906638071
168,0,0.3217600140406127
169,1,0.7919023058956283
170,1,0.539314581243469
171,0,0.33321458803796666
172,0,0.24056626516927235
173,1,0.6732310114574828
174,1,0.5607568097406018
175,0,0.13394311320555236
176,0,0.4358824521598028
177,0,0.24318394480739855
178,1,0.5681277701321897
179,1,0.6261058631233548
180,0,0.24902518114750177
181,0,0.3542087613768732
182,1,0.847780165769043
183,1,0.8918702511181935
184,1,0.7947962176675524
185,0,0.4289485875807563
186,1,0.7214954796293377
187,1,0.63805458611264
188,0,0.11574225092425496
189,1,0.8115046499854421
190,1,0.6654841915777315
191,1,0.6214217152648683
192,0,0.3101396101660012
193,1,0.8690394333492448
194,0,0.34627027950056166
195,1,0.8506840481906348
196,0,0.15094851595782594
197,1,0.58933054286639
198,0,0.2661026518386766
199,1,0.8946232486028642
200,0,0.4403784210861608
201,0,0.19240716771948096
202,1,0.6263876243365984
203,0,0.16179122883068536
204,0,0.4529571555090168
205,1,0.5211394844004205
206,0,0.3137174693481466
207,0,0.2823054777931872
208,1,0.5980498594078034
209,0,0.18518630600891356
210,1,0.7051919637232792
211,0,0.2855932012365647
212,1,0.6051927494550136
213,0,0.33392364928985063
214,0,0.16438442232373432
215,1,0.6209507275377895
216,1,0.7795595878327685
217,0,0.3137549288658063
218,1,0.5284693752863454
219,0,0.43234409138089
220,0,0.17867957171930154
221,1,0.7301403057952209
222,1,0.7828052955756067
223,0,0.07886857235659052
224,0,0.3207158692920149
225,0,0.4666896406882848
226,0,0.2395013071603171
227,1,0.8512109230372152
228,1,0.5786214609716842
229,0,0.23258106636775464
230,0,0.32922584831820534
231,0,0.3344805827921002
232,1,0.8006502054911643
233,0,0.45874468491454773
234,0,0.31266982471943333
235,0,0.2724365180074714
236,0,0.39404165926368456
237,0,0.3548720765605483
238,0,0.13589184798501755
239,1,0.8025375138289182
240,0,0.4993857767475678
241,0,0.2292163930967562
242,0,0.263511199730947
243,1,0.6302213033498051
244,1,0.5797336993268519
245,0,0.36966905821582113
